trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.6556592205741436, 'a': 0.2}",25,0,-7.255249686539555,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
43,False,"{'e': 0.6491026283684022, 'a': 0.2}",20,0,-38.263860820533495,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
44,False,"{'e': 0.6426116020847181, 'a': 0.2}",20,0,-22.790039359855964,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
45,False,"{'e': 0.6361854860638709, 'a': 0.2}",20,0,-29.641500415798607,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
46,False,"{'e': 0.6298236312032323, 'a': 0.2}",30,18,8.314469839888703,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'e': 0.6235253948912, 'a': 0.2}",30,0,-119.92484566841335,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
48,False,"{'e': 0.617290140942288, 'a': 0.2}",30,0,-88.63271733708197,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
49,False,"{'e': 0.6111172395328651, 'a': 0.2}",20,0,-72.32949351465278,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
50,False,"{'e': 0.6050060671375365, 'a': 0.2}",30,0,-156.8289002444441,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
51,False,"{'e': 0.5989560064661611, 'a': 0.2}",25,0,-46.50020374262507,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
52,False,"{'e': 0.5929664464014994, 'a': 0.2}",30,14,-6.711178995482463,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
53,False,"{'e': 0.5870367819374844, 'a': 0.2}",20,0,-73.60139661140437,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
54,False,"{'e': 0.5811664141181095, 'a': 0.2}",20,0,-5.2004643477858705,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
55,False,"{'e': 0.5753547499769285, 'a': 0.2}",20,3,-19.23387460685207,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
56,False,"{'e': 0.5696012024771592, 'a': 0.2}",20,5,-8.1556369901194,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'e': 0.5639051904523876, 'a': 0.2}",20,5,-36.6821148048759,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
58,False,"{'e': 0.5582661385478638, 'a': 0.2}",20,1,-49.636997392341044,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
59,False,"{'e': 0.5526834771623851, 'a': 0.2}",30,18,-1.4646568474732582,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'e': 0.5471566423907612, 'a': 0.2}",35,7,-173.7111169205977,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 3}",1
61,False,"{'e': 0.5416850759668536, 'a': 0.2}",25,6,-93.4874149066723,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
62,False,"{'e': 0.536268225207185, 'a': 0.2}",20,0,-77.75793260997384,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
63,False,"{'e': 0.5309055429551132, 'a': 0.2}",30,14,-65.37572708373831,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
64,False,"{'e': 0.525596487525562, 'a': 0.2}",25,19,-1.1267710751549815,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'e': 0.5203405226503064, 'a': 0.2}",30,10,-115.86233735682949,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
66,False,"{'e': 0.5151371174238033, 'a': 0.2}",25,0,-120.174710199273,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
67,False,"{'e': 0.5099857462495653, 'a': 0.2}",25,15,-46.54163561656084,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'e': 0.5048858887870696, 'a': 0.2}",20,8,-78.1271182946026,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
69,False,"{'e': 0.4998370298991989, 'a': 0.2}",25,0,-25.33357275219174,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
