trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'e': 0.15894270919978754, 'a': 0.2}",20,10,2.735141963400049,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'e': 0.15735328210778965, 'a': 0.2}",30,21,-4.926541849846581,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'e': 0.15577974928671176, 'a': 0.2}",35,20,24.606425055089943,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'e': 0.15422195179384465, 'a': 0.2}",20,11,-10.212680683421503,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
187,False,"{'e': 0.1526797322759062, 'a': 0.2}",25,0,-40.015654115992405,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
188,False,"{'e': 0.15115293495314713, 'a': 0.2}",20,0,12.877530318107059,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
189,False,"{'e': 0.14964140560361566, 'a': 0.2}",25,0,-16.15289634953537,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
190,False,"{'e': 0.1481449915475795, 'a': 0.2}",30,20,-4.618410437339115,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
191,False,"{'e': 0.1466635416321037, 'a': 0.2}",20,3,-24.111447592291473,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'e': 0.14519690621578268, 'a': 0.2}",20,0,2.8310017359465207,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
193,False,"{'e': 0.14374493715362485, 'a': 0.2}",20,2,24.06430089034756,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'e': 0.1423074877820886, 'a': 0.2}",25,14,19.71180581605179,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'e': 0.1408844129042677, 'a': 0.2}",25,3,6.239905244793232,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
196,False,"{'e': 0.13947556877522502, 'a': 0.2}",30,20,-66.46195746267412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
197,False,"{'e': 0.13808081308747278, 'a': 0.2}",25,20,8.194538774113074,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'e': 0.13670000495659804, 'a': 0.2}",20,12,14.869990054887662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'e': 0.13533300490703207, 'a': 0.2}",25,18,12.021244070948892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'e': 0.13397967485796175, 'a': 0.2}",25,5,19.229318220793036,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'e': 0.13263987810938213, 'a': 0.2}",30,0,3.1679328391554247,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
202,False,"{'e': 0.1313134793282883, 'a': 0.2}",35,21,-18.806478191710372,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'e': 0.13000034453500542, 'a': 0.2}",30,19,16.74712569471657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'e': 0.12870034108965536, 'a': 0.2}",25,8,29.3621009982092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'e': 0.12741333767875881, 'a': 0.2}",35,15,23.681281761859367,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'e': 0.12613920430197123, 'a': 0.2}",25,10,-2.6030472127698028,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
207,False,"{'e': 0.12487781225895152, 'a': 0.2}",20,15,2.0258860169887027,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'e': 0.123629034136362, 'a': 0.2}",25,0,38.15218066161589,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'e': 0.12239274379499838, 'a': 0.2}",30,1,-19.207371211178295,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 1}",1
210,False,"{'e': 0.1211688163570484, 'a': 0.2}",30,10,13.55550792311291,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'e': 0.11995712819347792, 'a': 0.2}",30,13,6.552579808183525,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
212,False,"{'e': 0.11875755691154315, 'a': 0.2}",25,11,21.225416681101887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'e': 0.11756998134242772, 'a': 0.2}",30,20,7.668636961404829,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'e': 0.11639428152900344, 'a': 0.2}",25,2,38.124319285949085,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'e': 0.11523033871371341, 'a': 0.2}",25,15,18.724132691681778,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'e': 0.11407803532657627, 'a': 0.2}",20,14,14.39250793266504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'e': 0.11293725497331052, 'a': 0.2}",20,16,7.494215083475574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'e': 0.1118078824235774, 'a': 0.2}",20,8,11.473666367897165,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'e': 0.11068980359934164, 'a': 0.2}",20,9,-21.244131968676484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'e': 0.10958290556334822, 'a': 0.2}",30,12,16.59177446817613,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'e': 0.10848707650771475, 'a': 0.2}",25,8,31.288018530488046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'e': 0.1074022057426376, 'a': 0.2}",30,10,-52.607921236515296,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
223,False,"{'e': 0.10632818368521123, 'a': 0.2}",20,0,27.47638282117341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
224,False,"{'e': 0.10526490184835911, 'a': 0.2}",25,6,32.98223144907926,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'e': 0.10421225282987552, 'a': 0.2}",25,14,11.32711831041187,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'e': 0.10317013030157676, 'a': 0.2}",30,20,5.821126333768305,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'e': 0.10213842899856099, 'a': 0.2}",20,7,18.88548872971486,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'e': 0.10111704470857538, 'a': 0.2}",25,3,-44.61668493095987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
229,False,"{'e': 0.10010587426148963, 'a': 0.2}",25,5,21.460592592039454,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'e': 0.09910481551887473, 'a': 0.2}",30,12,-2.181934589387244,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
231,False,"{'e': 0.09811376736368599, 'a': 0.2}",20,10,16.634547917035498,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'e': 0.09713262969004913, 'a': 0.2}",25,10,25.004280862762855,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'e': 0.09616130339314863, 'a': 0.2}",20,12,15.292256204134244,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'e': 0.09519969035921715, 'a': 0.2}",30,17,7.905376663361812,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'e': 0.09424769345562498, 'a': 0.2}",20,16,7.950584667753464,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'e': 0.09330521652106873, 'a': 0.2}",20,9,8.95976459887451,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'e': 0.09237216435585804, 'a': 0.2}",20,14,13.1534319511046,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'e': 0.09144844271229946, 'a': 0.2}",20,13,14.310308866315449,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'e': 0.09053395828517646, 'a': 0.2}",30,15,29.37713821547062,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'e': 0.08962861870232469, 'a': 0.2}",30,22,12.107243009004641,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'e': 0.08873233251530144, 'a': 0.2}",20,12,11.39664979028996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'e': 0.08784500919014843, 'a': 0.2}",25,14,18.196354724131787,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'e': 0.08696655909824694, 'a': 0.2}",20,12,13.701759121414286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'e': 0.08609689350726446, 'a': 0.2}",20,13,11.557438269308843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'e': 0.08523592457219181, 'a': 0.2}",35,21,6.57427652989773,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
246,False,"{'e': 0.0843835653264699, 'a': 0.2}",20,9,18.72711153455833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'e': 0.0835397296732052, 'a': 0.2}",20,8,-20.708209575193308,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
248,False,"{'e': 0.08270433237647315, 'a': 0.2}",35,2,48.00150999078511,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 0}",1
249,False,"{'e': 0.08187728905270841, 'a': 0.2}",25,19,11.246548372221453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'e': 0.08105851616218133, 'a': 0.2}",30,14,-10.33284300546124,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'e': 0.08024793100055952, 'a': 0.2}",25,11,21.03717288995691,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'e': 0.07944545169055392, 'a': 0.2}",30,19,15.269213519581431,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
253,False,"{'e': 0.07865099717364837, 'a': 0.2}",20,3,19.31925548504187,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'e': 0.07786448720191189, 'a': 0.2}",25,15,17.11073177338198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'e': 0.07708584232989277, 'a': 0.2}",25,20,10.65709302552704,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'e': 0.07631498390659384, 'a': 0.2}",20,13,12.691734009045147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'e': 0.07555183406752791, 'a': 0.2}",30,16,17.0338438810771,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
258,False,"{'e': 0.07479631572685264, 'a': 0.2}",20,13,10.38007408115144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'e': 0.07404835256958411, 'a': 0.2}",20,12,15.72188498091958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'e': 0.07330786904388827, 'a': 0.2}",20,7,22.87793452918516,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'e': 0.07257479035344938, 'a': 0.2}",30,19,6.129326479903978,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'e': 0.07184904244991488, 'a': 0.2}",20,14,13.409695013444122,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'e': 0.07113055202541574, 'a': 0.2}",25,8,6.757392727643657,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'e': 0.07041924650516158, 'a': 0.2}",20,0,12.180349795612042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
265,False,"{'e': 0.06971505404010997, 'a': 0.2}",20,15,10.190147797926828,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'e': 0.06901790349970886, 'a': 0.2}",25,0,40.527468433688405,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,False,"{'e': 0.06832772446471178, 'a': 0.2}",25,0,35.23520237608496,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
268,False,"{'e': 0.06764444722006466, 'a': 0.2}",20,0,16.00853712569364,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
269,False,"{'e': 0.066968002747864, 'a': 0.2}",30,13,20.086665583444752,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'e': 0.06629832272038537, 'a': 0.2}",20,5,23.89512402596782,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'e': 0.06563533949318151, 'a': 0.2}",25,19,9.949336188272506,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'e': 0.06497898609824969, 'a': 0.2}",25,16,17.785102932791858,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'e': 0.0643291962372672, 'a': 0.2}",20,5,22.49542804467211,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'e': 0.06368590427489453, 'a': 0.2}",25,17,16.510024967623178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'e': 0.06304904523214558, 'a': 0.2}",30,14,15.536179521942108,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'e': 0.06241855477982412, 'a': 0.2}",30,22,13.805032674982085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'e': 0.06179436923202588, 'a': 0.2}",20,8,23.21793868113744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'e': 0.06117642553970562, 'a': 0.2}",25,18,-49.14616979494143,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
279,False,"{'e': 0.06056466128430856, 'a': 0.2}",25,0,-16.914287075510465,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
280,False,"{'e': 0.05995901467146548, 'a': 0.2}",25,11,23.953474774704663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'e': 0.05935942452475082, 'a': 0.2}",20,6,24.134138691784607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'e': 0.058765830279503314, 'a': 0.2}",25,17,7.369661285709437,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
283,False,"{'e': 0.05817817197670828, 'a': 0.2}",20,2,12.737752023654,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'e': 0.057596390256941195, 'a': 0.2}",20,14,-10.647549893472643,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
285,False,"{'e': 0.05702042635437178, 'a': 0.2}",20,0,28.11828440918854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
286,False,"{'e': 0.05645022209082806, 'a': 0.2}",20,14,13.515751171507825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'e': 0.05588571986991978, 'a': 0.2}",20,15,9.8054302912,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'e': 0.055326862671220584, 'a': 0.2}",30,21,16.532960445474092,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'e': 0.05477359404450838, 'a': 0.2}",20,2,-52.89888063597053,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
290,False,"{'e': 0.054225858104063294, 'a': 0.2}",20,14,11.380056456057343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'e': 0.05368359952302266, 'a': 0.2}",20,12,16.973793912467958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'e': 0.053146763527792434, 'a': 0.2}",20,14,3.7054383779451623,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'e': 0.052615295892514506, 'a': 0.2}",20,0,-15.86214117386703,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
294,False,"{'e': 0.052089142933589364, 'a': 0.2}",20,10,17.256846165521374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'e': 0.05156825150425347, 'a': 0.2}",30,16,23.481060152957383,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'e': 0.051052568989210935, 'a': 0.2}",20,5,18.426173230750788,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'e': 0.05054204329931883, 'a': 0.2}",20,9,17.08379047639999,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'e': 0.05003662286632564, 'a': 0.2}",20,0,22.02963786392057,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
299,False,"{'e': 0.04953625663766238, 'a': 0.2}",25,7,5.268898624663882,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
300,False,"{'e': 0.04904089407128576, 'a': 0.2}",25,3,32.758356714989986,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
301,False,"{'e': 0.0485504851305729, 'a': 0.2}",35,19,25.341995498245886,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'e': 0.048064980279267165, 'a': 0.2}",20,12,15.715086310690829,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'e': 0.04758433047647449, 'a': 0.2}",25,15,16.913960265375408,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'e': 0.04710848717170975, 'a': 0.2}",20,3,29.976885184509307,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'e': 0.04663740229999265, 'a': 0.2}",25,14,21.886200587323042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'e': 0.04617102827699272, 'a': 0.2}",20,10,17.451948503254307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'e': 0.045709317994222794, 'a': 0.2}",25,0,36.063984708267164,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'e': 0.04525222481428057, 'a': 0.2}",20,7,21.072832321420048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'e': 0.04479970256613776, 'a': 0.2}",35,7,18.14801416948403,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 0}",1
310,False,"{'e': 0.04435170554047638, 'a': 0.2}",25,12,2.838046399937893,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
311,False,"{'e': 0.043908188485071616, 'a': 0.2}",30,18,22.236357623312408,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'e': 0.0434691066002209, 'a': 0.2}",20,14,12.155516143415554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'e': 0.04303441553421869, 'a': 0.2}",25,13,21.19138875833114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'e': 0.0426040713788765, 'a': 0.2}",20,0,-55.439701873376364,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
315,False,"{'e': 0.04217803066508773, 'a': 0.2}",30,10,22.341634554202813,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'e': 0.04175625035843686, 'a': 0.2}",20,13,9.374985595638735,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'e': 0.041338687854852486, 'a': 0.2}",25,17,1.2331807397560013,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
318,False,"{'e': 0.04092530097630396, 'a': 0.2}",25,7,17.437544468113295,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'e': 0.040516047966540916, 'a': 0.2}",30,17,23.149200412455578,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'e': 0.04011088748687551, 'a': 0.2}",30,24,9.911113984542483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'e': 0.03970977861200675, 'a': 0.2}",30,8,30.29685260783711,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'e': 0.03931268082588668, 'a': 0.2}",25,17,13.242164695049983,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'e': 0.03891955401762781, 'a': 0.2}",20,16,7.421369115806006,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'e': 0.03853035847745153, 'a': 0.2}",20,0,24.64024440514095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'e': 0.03814505489267701, 'a': 0.2}",25,16,16.63410341410848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'e': 0.03776360434375024, 'a': 0.2}",35,20,15.972918589579873,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
327,False,"{'e': 0.03738596830031274, 'a': 0.2}",30,10,27.38703831540446,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
328,False,"{'e': 0.03701210861730961, 'a': 0.2}",20,1,11.855759290332472,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
329,False,"{'e': 0.03664198753113651, 'a': 0.2}",25,0,35.09151660568873,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'e': 0.036275567655825146, 'a': 0.2}",25,18,14.160717354678233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'e': 0.03591281197926689, 'a': 0.2}",20,3,27.444060382459647,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'e': 0.035553683859474224, 'a': 0.2}",20,0,7.250669644098654,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
333,False,"{'e': 0.03519814702087948, 'a': 0.2}",25,7,34.31123950860954,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'e': 0.03484616555067068, 'a': 0.2}",20,6,22.251294364391438,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'e': 0.034497703895163975, 'a': 0.2}",25,8,21.568716171563317,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
336,False,"{'e': 0.03415272685621234, 'a': 0.2}",30,24,9.667716793135103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'e': 0.03381119958765021, 'a': 0.2}",20,10,4.714862666839833,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
338,False,"{'e': 0.03347308759177371, 'a': 0.2}",25,0,29.045049252449772,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
339,False,"{'e': 0.03313835671585597, 'a': 0.2}",35,0,47.31562943299172,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'e': 0.03280697314869741, 'a': 0.2}",25,0,-27.940598281560632,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
341,False,"{'e': 0.032478903417210436, 'a': 0.2}",35,20,-16.30624703664705,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
342,False,"{'e': 0.032154114383038335, 'a': 0.2}",20,12,10.912569847645559,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'e': 0.03183257323920795, 'a': 0.2}",20,11,16.587165911695646,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'e': 0.03151424750681587, 'a': 0.2}",20,9,21.362499585186608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'e': 0.03119910503174771, 'a': 0.2}",20,10,12.56719248627843,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
346,False,"{'e': 0.030887113981430233, 'a': 0.2}",30,10,37.21314299434712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'e': 0.03057824284161593, 'a': 0.2}",20,6,11.196692383320283,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'e': 0.03027246041319977, 'a': 0.2}",35,16,22.13244375095536,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
349,False,"{'e': 0.029969735809067772, 'a': 0.2}",20,10,20.9953907350509,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'e': 0.029670038450977095, 'a': 0.2}",25,11,20.135609472179933,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'e': 0.029373338066467324, 'a': 0.2}",20,15,-3.0860665942750165,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
352,False,"{'e': 0.02907960468580265, 'a': 0.2}",25,11,0.30864687073444963,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
353,False,"{'e': 0.028788808638944622, 'a': 0.2}",25,11,14.39291782717116,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'e': 0.028500920552555174, 'a': 0.2}",25,8,29.110457613305353,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'e': 0.028215911347029624, 'a': 0.2}",25,11,12.827860286972658,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
356,False,"{'e': 0.027933752233559327, 'a': 0.2}",20,16,6.981757333153199,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'e': 0.027654414711223735, 'a': 0.2}",25,13,20.77877950507341,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'e': 0.027377870564111496, 'a': 0.2}",20,14,12.509867618543037,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'e': 0.027104091858470382, 'a': 0.2}",20,7,23.382584783801164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'e': 0.026833050939885677, 'a': 0.2}",20,8,21.669105407575678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'e': 0.02656472043048682, 'a': 0.2}",30,19,7.361614650028658,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
362,False,"{'e': 0.02629907322618195, 'a': 0.2}",20,3,26.213143865266016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'e': 0.026036082493920133, 'a': 0.2}",20,8,17.7332974671107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'e': 0.02577572166898093, 'a': 0.2}",25,15,14.998067749694266,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'e': 0.025517964452291122, 'a': 0.2}",25,0,0.40604430193998553,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
366,False,"{'e': 0.02526278480776821, 'a': 0.2}",30,13,32.46834580239041,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'e': 0.025010156959690527, 'a': 0.2}",20,16,10.168489231154588,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
